City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
266,Clyde River,CA,70.4692,-68.5914,258.28,78,100,7.72,overcast clouds
267,San Patricio,US,28.017,-97.5169,286.08,85,96,2.79,overcast clouds
268,Ryotsu,JP,38.0833,138.4333,285.4,61,100,4.87,light rain
269,Mar Del Plata,AR,-38.0023,-57.5575,288.08,76,0,4.02,clear sky
270,Taoudenni,ML,22.6783,-3.9836,291.05,16,100,4.58,overcast clouds
271,Shintomi,JP,32.0785,131.4723,292.77,88,97,2.23,overcast clouds
272,Jizan,SA,17.3333,42.6667,298.67,66,3,1.93,clear sky
273,Kisangani,CD,0.5167,25.2,292.98,98,91,0.17,overcast clouds
274,Chopda,IN,21.25,75.3,289.46,47,65,1.48,broken clouds
275,Tabou,CI,4.423,-7.3528,298.61,85,0,3.17,clear sky
276,Tigil,RU,57.8,158.6667,273.38,73,100,7.71,overcast clouds
277,Maltahohe,NA,-24.8333,16.9833,288.66,35,0,3.52,clear sky
278,Socorro,US,31.6546,-106.3033,287.71,39,75,2.57,broken clouds
279,Komsomolskiy,UZ,40.4272,71.7189,278.55,87,100,1.03,mist
280,Ayan,RU,56.45,138.1667,262.71,63,100,6.24,overcast clouds
281,Brive-La-Gaillarde,FR,45.25,1.5,281.39,73,100,1.73,light rain
282,Tottori,JP,35.5,134.2333,286.19,94,75,3.6,light rain
283,Ambilobe,MG,-13.2,49.05,295.35,92,47,1.58,scattered clouds
284,Tuatapere,NZ,-46.1333,167.6833,290.15,36,69,2.78,broken clouds
285,Sistranda,NO,63.7256,8.834,276.13,57,100,9.76,overcast clouds
286,Hambantota,LK,6.1241,81.1185,297.71,83,59,4.89,broken clouds
287,Ishim,RU,56.1128,69.4902,250.67,98,22,2.23,few clouds
288,Vao,NC,-22.6667,167.4833,297.92,73,1,2.23,clear sky
289,Kahului,US,20.8947,-156.47,300.35,75,17,5.36,few clouds
290,Vilyuysk,RU,63.7553,121.6247,249.11,99,100,0.28,overcast clouds
291,Caravelas,BR,-17.7125,-39.2481,295.33,89,100,2.39,overcast clouds
292,Shaowu,CN,27.3409,117.4831,290.41,92,97,0.91,overcast clouds
293,Hobyo,SO,5.3505,48.5268,299.39,70,33,6.52,scattered clouds
294,Pisco,PE,-13.7,-76.2167,292.18,88,0,5.14,clear sky
295,Gewane,ET,10.1664,40.6453,297.0,42,45,1.18,scattered clouds
296,Urucui,BR,-7.2294,-44.5561,300.09,51,4,1.84,clear sky
297,Arlit,NE,18.7369,7.3853,294.95,18,100,3.08,overcast clouds
298,Shenkursk,RU,62.1091,42.896,260.17,90,7,1.82,clear sky
299,Zhezkazgan,KZ,47.8043,67.7144,271.14,93,100,4.0,overcast clouds
300,Carutapera,BR,-1.195,-46.02,298.74,88,8,3.06,clear sky
301,Ust-Kuyga,RU,70.0167,135.6,231.56,100,98,1.82,overcast clouds
302,Bethanien,NA,-26.502,17.1583,292.0,41,0,3.09,clear sky
303,Cozumel,MX,20.5083,-86.9458,300.41,86,20,0.0,few clouds
304,Mahanje,TZ,-9.9333,35.3333,292.11,77,45,1.1,scattered clouds
305,Lagoa,PT,39.05,-27.9833,289.06,71,100,5.46,overcast clouds
306,Loa Janan,ID,-0.583,117.095,301.9,69,52,1.13,broken clouds
307,Biograd Na Moru,HR,43.9433,15.4519,283.01,80,100,1.6,light rain
308,Lavrentiya,RU,65.5833,-171.0,257.49,90,100,7.3,overcast clouds
309,Steamboat Springs,US,40.485,-106.8317,272.46,53,0,3.09,clear sky
310,Telimele,GN,10.9167,-13.3333,293.74,48,12,0.56,few clouds
311,Mtambile,TZ,-5.3833,39.7,298.39,87,8,4.37,light rain
312,Bikaner,IN,28.0167,73.3,288.15,31,0,1.78,clear sky
313,Malnas,RO,46.0167,25.8333,277.37,77,99,2.06,overcast clouds
314,Cody,US,44.5263,-109.0565,271.26,80,0,2.06,clear sky
315,Camacha,PT,33.0833,-16.3333,289.83,94,75,4.63,light intensity drizzle
316,Labuhan,ID,-6.8844,112.2051,300.59,75,100,3.49,moderate rain
317,Conceicao Da Barra,BR,-18.5933,-39.7322,295.3,87,100,2.16,overcast clouds
318,Barcelos,PT,41.5388,-8.6151,290.23,95,100,7.95,light rain
319,Xinyu,CN,27.8043,114.9334,289.5,79,77,3.06,broken clouds
320,Iskateley,RU,67.6803,53.1512,265.19,96,99,3.74,light snow
321,Souillac,MU,-20.5167,57.5167,295.36,94,40,1.03,scattered clouds
322,San Quintin,MX,30.4833,-115.95,289.87,60,21,3.22,few clouds
323,Quelimane,MZ,-17.8786,36.8883,296.78,78,47,1.6,scattered clouds
324,Werda,BW,-25.2667,23.2833,294.83,51,0,5.38,clear sky
325,Sechura,PE,-5.5569,-80.8222,292.37,76,23,5.11,few clouds
326,Ilawe,NG,7.8667,4.4333,295.49,90,1,1.23,clear sky
327,Novikovo,RU,51.1537,37.8879,273.59,96,100,6.23,light snow
328,Senador Guiomard,BR,-10.1522,-67.7392,297.01,99,100,1.61,overcast clouds
